CHP ID,Pregnancy,PNC Visit Rate,PNC Visit Missed - #,Total U1 Assessments,Total U1 Treatments,Total U5 Assessments,Total U5 Treatments,U5 Malaria,U5 Diarrhea,U5 Pneumonia,On Time Referral f/u Treatment U5,Missed Visits,%mRDT,All Malaria Assessments,All Malaria Treatments,Act 6pack Issue,mRDT Used,Sales,Community Events,Households Registered
f5830af5-96e1-4a1a-9554-6d5ce967359b,0,1,0,1,0,9,5,2,2,1,0,0,0.333333333,2,1,2,2,0,0,104
fd409ed9-c11f-48fa-9f89-bbb6fbba7f2a,0,1,0,5,0,16,5,1,0,4,1,0,0.384615385,5,5,17,5,0,0,99
fe89c03c-9d6a-414b-b2f8-2fee6736c306,0,0,0,2,0,9,0,0,0,0,0,0,0.888888889,8,3,9,8,450,0,77
ff7cacd7-95fd-478e-9ff3-131ac280e4c0,1,1,0,1,0,2,0,0,0,0,0,0,1,1,0,0,1,0,2,127
072b3976-8655-44e0-9e6e-80efd89af593,0,0,0,2,0,12,1,1,0,0,0,0,1,4,2,4,4,160,1,72
0c38b101-d184-49f0-8de6-d1584d353be7,0,0,0,1,0,6,2,2,0,0,0,0,1,6,2,3,6,132,2,103
165165b2-1a74-414f-b9e6-dfbc5f390a06,0,0,0,4,0,11,2,2,0,0,0,0,1,4,2,3,4,0,3,71
2318abf7-c012-48ce-b2a9-650422800980,2,1,0,2,1,7,6,3,2,1,1,0,1,7,4,6,7,705.83,2,99
23971de9-3832-40c7-9873-0ccc8a7c3b4f,1,0,0,3,1,10,4,1,2,1,0,0,1,4,3,6,4,558.21,2,90
2f57a4f8-2282-4151-821d-5f232306aec9,1,1,0,2,1,10,2,1,0,1,0,0,1,4,1,1,4,0,3,88
3446697b-0ee7-49a7-bdd3-06cf22749c67,0,0,0,1,1,10,7,7,0,0,1,0,1,9,6,10,9,490,1,100
49e37fc8-ce14-4f64-b35d-9b2cf8eb3905,0,0,0,0,0,4,1,1,0,0,0,0,0.75,3,1,1,3,1726.76,3,126
4a1df413-1554-4e74-b840-f2893a52c11f,0,0,0,2,0,4,1,0,0,1,1,0,0.75,3,1,4,3,171.55,3,122
